node_id,BoroCT2010
0,1000100
1,1000201
2,1000202
3,1000500
4,1000600
5,1000700
6,1000800
7,1000900
8,1001001
9,1001002
10,1001200
11,1001300
12,1001401
13,1001402
14,1001501
15,1001502
16,1001600
17,1001800
18,1002000
19,1002100
20,1002201
21,1002202
22,1002400
23,1002500
24,1002601
25,1002602
26,1002700
27,1002800
28,1002900
29,1003001
30,1003002
31,1003100
32,1003200
33,1003300
34,1003400
35,1003601
36,1003602
37,1003700
38,1003800
39,1003900
40,1004000
41,1004100
42,1004200
43,1004300
44,1004400
45,1004500
46,1004700
47,1004800
48,1004900
49,1005000
50,1005200
51,1005400
52,1005501
53,1005502
54,1005600
55,1005700
56,1005800
57,1005900
58,1006000
59,1006100
60,1006200
61,1006300
62,1006400
63,1006500
64,1006600
65,1006700
66,1006800
67,1006900
68,1007000
69,1007100
70,1007200
71,1007300
72,1007400
73,1007500
74,1007600
75,1007700
76,1007800
77,1007900
78,1008000
79,1008100
80,1008200
81,1008300
82,1008400
83,1008601
84,1008602
85,1008603
86,1008700
87,1008800
88,1008900
89,1009000
90,1009100
91,1009200
92,1009300
93,1009400
94,1009500
95,1009600
96,1009700
97,1009800
98,1009900
99,1010000
100,1010100
101,1010200
102,1010300
103,1010400
104,1010601
105,1010602
106,1010800
107,1010900
108,1011000
109,1011100
110,1011201
111,1011202
112,1011203
113,1011300
114,1011401
115,1011402
116,1011500
117,1011600
118,1011700
119,1011800
120,1011900
121,1012000
122,1012100
123,1012200
124,1012400
125,1012500
126,1012600
127,1012700
128,1012800
129,1012900
130,1013000
131,1013100
132,1013200
133,1013300
134,1013400
135,1013500
136,1013600
137,1013700
138,1013800
139,1013900
140,1014000
141,1014200
142,1014300
143,1014401
144,1014402
145,1014500
146,1014601
147,1014602
148,1014700
149,1014801
150,1014802
151,1014900
152,1015001
153,1015002
154,1015100
155,1015200
156,1015300
157,1015400
158,1015500
159,1015601
160,1015602
161,1015700
162,1015801
163,1015802
164,1015900
165,1016001
166,1016002
167,1016100
168,1016200
169,1016300
170,1016400
171,1016500
172,1016600
173,1016700
174,1016800
175,1016900
176,1017000
177,1017100
178,1017200
179,1017300
180,1017401
181,1017402
182,1017500
183,1017700
184,1017800
185,1017900
186,1018000
187,1018100
188,1018200
189,1018300
190,1018400
191,1018500
192,1018600
193,1018700
194,1018800
195,1018900
196,1019000
197,1019100
198,1019200
199,1019300
200,1019400
201,1019500
202,1019600
203,1019701
204,1019702
205,1019800
206,1019900
207,1020000
208,1020101
209,1020102
210,1020300
211,1020500
212,1020600
213,1020701
214,1020800
215,1020901
216,1021000
217,1021100
218,1021200
219,1021303
220,1021400
221,1021500
222,1021600
223,1021703
224,1021800
225,1021900
226,1022000
227,1022102
228,1022200
229,1022301
230,1022302
231,1022400
232,1022500
233,1022600
234,1022700
235,1022800
236,1022900
237,1023000
238,1023100
239,1023200
240,1023300
241,1023400
242,1023501
243,1023502
244,1023600
245,1023700
246,1023801
247,1023802
248,1023900
249,1024000
250,1024100
251,1024200
252,1024301
253,1024302
254,1024500
255,1024700
256,1024900
257,1025100
258,1025300
259,1025500
260,1025700
261,1025900
262,1026100
263,1026300
264,1026500
265,1026700
266,1026900
267,1027100
268,1027300
269,1027500
270,1027700
271,1027900
272,1028100
273,1028300
274,1028500
275,1028700
276,1029100
277,1029300
278,1029500
279,1029700
280,1029900
281,1030300
282,1030700
283,1030900
284,1031100
285,1031703
286,1031704
287,1031900
288,2000100
289,2000200
290,2000400
291,2001600
292,2001900
293,2002000
294,2002300
295,2002400
296,2002500
297,2002701
298,2002702
299,2002800
300,2003100
301,2003300
302,2003500
303,2003700
304,2003800
305,2003900
306,2004001
307,2004100
308,2004200
309,2004300
310,2004400
311,2004600
312,2004800
313,2005001
314,2005002
315,2005100
316,2005200
317,2005300
318,2005400
319,2005600
320,2005902
321,2006000
322,2006100
323,2006200
324,2006300
325,2006400
326,2006500
327,2006700
328,2006800
329,2006900
330,2007000
331,2007100
332,2007200
333,2007300
334,2007400
335,2007500
336,2007600
337,2007700
338,2007800
339,2007900
340,2008300
341,2008400
342,2008500
343,2008600
344,2008700
345,2008900
346,2009000
347,2009200
348,2009300
349,2009600
350,2009800
351,2011000
352,2011502
353,2011700
354,2011800
355,2011900
356,2012101
357,2012102
358,2012300
359,2012500
360,2012701
361,2012901
362,2013000
363,2013100
364,2013200
365,2013300
366,2013500
367,2013800
368,2014100
369,2014300
370,2014400
371,2014500
372,2014701
373,2014702
374,2014900
375,2015100
376,2015200
377,2015300
378,2015500
379,2015700
380,2015800
381,2015900
382,2016000
383,2016100
384,2016200
385,2016300
386,2016400
387,2016500
388,2016600
389,2016700
390,2016900
391,2017100
